COUNTRY,COUNTRY_GRP,YEAR,VALUE
EST,,2005,113.06
,WHO_EURO,1982,78.71
PRT,,1993,56.99
LVA,,1987,98.93
MLT,,1978,39.5
BEL,,1993,59.15
RUS,,2010,138.5
MKD,,2002,39.36
IRL,,1996,39.79
,CIS,1999,155.02
BEL,,2008,48.82
,EU_AFTER_MAY2004,1991,90.52
ITA,,1995,39.28
MNE,,2009,35.19
LTU,,1993,172.81
LVA,,1980,148.5
HUN,,2002,81.52
,CIS,2009,111.74
DEU,,2015,28.04
LUX,,2001,52.85
ISR,,2002,38.2
TJK,,1987,49.94
IRL,,1999,42.16
BGR,,1998,56.73
HRV,,2005,56.06
SVK,,2012,56.02
SVN,,1991,91.94
GBR,,2011,26.96
GEO,,1981,57.51
BEL,,1986,64.35
AZE,,1986,51.52
UKR,,1992,128.46
MLT,,2011,19.49
,EU_BEFORE_MAY2004,2005,35.03
NLD,,1992,32.08
UKR,,1993,130.85
AUT,,1983,85.45
ITA,,1983,48.44
KGZ,,2007,88.12
SVK,,1995,70.73
FRA,,1999,59.98
NOR,,2013,38.08
NOR,,1999,44.02
LUX,,1988,72.39
ISR,,2014,20.92
ARM,,1985,45.73
CHE,,1982,70.99
AUT,,2001,45.53
GEO,,1992,57.81
,CIS,1989,111.15
,CARINFONET,2001,81.31
RUS,,1990,135.68
UZB,,1981,72.63
RUS,,1994,247.96
GBR,,1990,33.26
,EU_MEMBERS,1991,58.83
NLD,,2004,27.29
CZE,,1988,78.64
MDA,,1992,130.17
FRA,,1975,86.86
FRA,,1997,59.86
ESP,,1975,46.45
SVK,,2010,50.11
FRA,,1996,60.83
HRV,,1995,77.46
LUX,,2006,43.08
ISL,,1994,36.37
BLR,,1985,89.9
ITA,,1977,51.4
CZE,,2003,64.22
NLD,,1984,40.42
,WHO_EURO,2007,66.41
FRA,,1987,73.01
DEU,,1990,49.39
,WHO_EURO,2003,79.99
MLT,,2005,25.86
NOR,,1973,60.26
BLR,,1994,143.4
NLD,,2013,27.58
PRT,,2008,33.68
,WHO_EURO,1981,80.13
NLD,,2008,25.98
,CARINFONET,1982,89.58
EST,,2006,110.69
MDA,,1982,121.12
BGR,,2004,45.03
NLD,,2010,26.32
BGR,,1993,63.11
FRA,,1988,72.59
NOR,,2006,40.8
HUN,,1988,110.63
ESP,,1999,35.98
MLT,,1995,25.84
MNE,,2000,40.23
LUX,,2011,40.35
KAZ,,1998,156.57
FIN,,1974,94.22
IRL,,1989,45.23
KGZ,,2003,95.29
KAZ,,2001,160.3
ESP,,2003,33.58
TKM,,2005,51.53
FRA,,1992,68.04
IRL,,1980,54.52
MLT,,2012,23.13
PRT,,1972,63.83
LVA,,1982,141.67
AZE,,2004,26.11
FIN,,1983,75.73
KAZ,,2015,88.53
BLR,,2008,138.38
TJK,,1989,56.86
TJK,,1981,51.46
FRA,,1993,67.5
DNK,,2003,38.37
GBR,,2004,28.72
ISL,,1986,58.22
,NORDIC,2001,48.14
PRT,,1988,69.47
,NORDIC,1999,49.31
ITA,,1985,46.65
,WHO_EURO,1993,91.81
IRL,,1986,46.72
,CIS,1985,111.11
ISR,,1983,47.71
HUN,,2001,80.62
ALB,,1989,29.53
,CIS,1982,124.35
ITA,,1979,50.64
BGR,,1995,62.66
CHE,,1999,40.28
,EU_AFTER_MAY2004,1990,87.07
,SEEHN,2011,39.94
AUT,,2012,37.26
SWE,,1973,69.45
DNK,,1976,63.59
SWE,,2011,34.59
POL,,1971,71.21
NOR,,1970,60.04
PRT,,1989,65.56
KAZ,,2009,112.48
LVA,,2001,151.9
UKR,,2003,145.78
KGZ,,1989,103.45
GBR,,1982,38.52
LUX,,1973,83.15
,EU_MEMBERS,1981,61.17
PRT,,2002,48.16
SWE,,1990,49.07
FRA,,2008,44.1
SVN,,1997,83.2
UKR,,1990,107.38
DNK,,1970,73.12
HUN,,2006,64.93
,NORDIC,2011,39.56
FIN,,1986,79.11
MDA,,2013,77.52
,EU_MEMBERS,2003,44.08
BEL,,2000,56.75
NLD,,1999,28.78
ROU,,2002,65.38
UKR,,2008,123.94
CHE,,1978,70.28
HUN,,2012,52.17
,CIS,1987,91.44
PRT,,1994,52.86
,CIS,1988,104.05
ITA,,1974,54.49
,CIS,1997,150.73
LVA,,1986,103.39
FRA,,1974,89.67
BIH,,1985,52.71
NOR,,1995,42.9
,EU_AFTER_MAY2004,2000,70.78
