COUNTRY,YEAR,death_all,death_external,death_internal,death_diabetes_65,death_cerebrovascular_65,death_respiratory_65,elderly_rate,life_expectancy,hospital_beds,gni
EST,2011.0,753.55,77.8,675.75,48.56,402.86,113.41,17.57700354,76.69,535.92,15850.0
EST,2004.0,1010.73,121.03,889.7,92.46,946.9,165.07,16.38105024,72.5,564.38,7500.0
EST,2006.0,963.43,110.69,852.74,75.98,846.19,133.7,17.07664778,73.28,555.09,11500.0
EST,2010.0,793.18,76.56,716.6199999999999,44.59,463.66,121.9,17.5,76.11,527.39,14560.0
EST,2003.0,1046.01,125.5,920.51,51.3,1084.51,162.13,16.018224,72.02,573.2,5730.0
EST,2005.0,977.95,113.06,864.8900000000001,70.34,891.71,135.23,16.8,73.08,538.24,9730.0
FIN,2014.0,529.23,48.62,480.61,31.77,309.82,135.88,19.66429074,81.35,451.5,49390.0
FRA,2012.0,486.87,40.28,446.59000000000003,65.16,181.9,216.41,17.5320353,82.32,653.1,43380.0
FRA,2013.0,475.97,38.43,437.54,63.76,174.85,204.65,17.95111157,82.61,647.72,43780.0
HUN,2014.0,826.94,46.07,780.87,110.79,545.98,278.45,17.71679085,76.02,696.8,13540.0
IRL,2013.0,540.72,31.31,509.41,80.11,270.77,500.02,12.36855136,81.12,257.71,43550.0
KAZ,2015.0,1041.83,88.53,953.3,214.41,724.78,1135.19,6.8,72.04,,11420.0
KAZ,2013.0,1121.54,102.83,1018.7099999999999,121.89,910.48,994.37,6.65525466,70.76,671.77,11840.0
KAZ,2014.0,1071.31,93.62,977.6899999999999,150.24,763.84,1023.41,6.75460449,71.6,605.69,12090.0
DNK,2009.0,644.37,32.21,612.16,107.04,315.57,524.61,16.10641367,79.2,349.6,60090.0
DNK,2007.0,673.56,36.92,636.64,105.26,362.29,507.94,15.45768464,78.61,369.39,55740.0
DNK,2008.0,652.17,35.75,616.42,107.09,330.17,502.25,15.74300486,78.98,357.35,60390.0
DNK,2010.0,628.53,29.79,598.74,97.11,318.51,496.93,16.7,79.52,350.03,61220.0
LTU,2013.0,890.77,108.26,782.51,36.97,812.13,172.0,18.34094119,74.19,728.2,15300.0
LTU,2014.0,852.25,100.02,752.23,34.89,744.99,140.16,18.58317871,74.79,726.0,16040.0
LUX,2014.0,463.64,34.43,429.21,85.66,208.14,232.97,14.12984277,83.03,493.38,76470.0
LVA,2014.0,865.92,81.82,784.0999999999999,95.44,976.98,113.74,19.22702683,74.77,566.97,15300.0
LVA,2013.0,891.52,77.89,813.63,86.01,1003.99,123.65,18.91538854,74.42,579.98,14890.0
MDA,2014.0,1099.98,82.64,1017.34,62.5,1212.1,209.84,10.18997598,71.6,566.05,3010.0
NOR,2014.0,487.27,37.36,449.90999999999997,50.22,238.4,344.24,16.02805606,82.33,383.67,104560.0
POL,2010.0,772.76,56.1,716.66,85.55,492.51,260.77,13.5,76.54,660.99,12730.0
POL,2011.0,749.36,55.49,693.87,88.1,478.08,261.49,13.81790906,76.91,663.01,12900.0
POL,2012.0,748.45,54.26,694.19,91.32,451.54,260.75,14.21515266,76.97,663.05,13220.0
POL,2013.0,736.49,51.4,685.09,92.75,419.84,288.25,14.66625992,77.21,660.98,13480.0
POL,2014.0,698.58,48.47,650.11,83.65,385.96,249.97,15.19255013,77.89,652.26,13640.0
ESP,2014.0,447.76,22.09,425.67,76.64,212.02,341.32,18.31978201,83.35,298.18,29130.0
SRB,2014.0,887.13,33.99,853.14,151.59,771.03,292.35,18.24789495,75.42,552.39,6240.0
SVK,2003.0,970.88,56.18,914.7,92.46,673.91,409.26,11.50585151,73.88,723.9,6940.0
SVK,2001.0,987.43,56.55,930.88,88.36,670.57,363.87,11.37492611,73.69,766.74,5710.0
SVK,2002.0,967.43,55.63,911.8,83.46,673.26,386.66,11.45179165,73.88,756.93,6000.0
SVK,2005.0,950.1,56.11,893.99,82.61,574.97,374.36,11.6,74.24,676.98,11310.0
SVK,2004.0,939.89,55.46,884.43,85.03,651.14,366.5,11.60619436,74.31,689.8,9000.0
SVK,2000.0,989.59,57.65,931.94,92.0,650.83,380.04,11.3,73.44,783.85,5520.0
SVK,2014.0,753.16,50.51,702.65,89.5,549.65,271.37,13.74895292,77.07,578.07,18240.0
SVK,2013.0,779.97,50.8,729.1700000000001,77.74,551.36,301.99,13.33768058,76.7,580.34,18140.0
SVK,2012.0,802.91,56.02,746.89,98.19,613.14,318.51,12.95296842,76.33,591.08,17540.0
SWE,2014.0,482.6,35.92,446.68,73.35,254.91,225.91,19.51860692,82.44,253.55,61690.0
TKM,2012.0,1049.42,28.12,1021.3000000000001,99.55,1082.97,74.68,3.82365152,71.2,397.56,5560.0
UKR,2014.0,1076.62,85.42,991.1999999999999,15.13,988.65,113.24,15.47253274,71.44,746.26,3560.0
UZB,2014.0,955.43,33.22,922.2099999999999,168.5,697.08,172.57,3.99732502,73.53,397.84,2530.0
ARM,2016.0,878.95,41.96,836.99,237.63,556.12,496.66,,,,3760.0
AUT,2016.0,505.69,33.43,472.26,148.47,201.77,202.11,,81.93,,46220.0
HRV,2016.0,700.3,46.13,654.17,184.13,643.81,238.06,,78.27,,12390.0
CYP,2016.0,471.28,28.64,442.64,200.14,228.95,329.23,,82.74,,24660.0
CZE,2016.0,642.29,40.84,601.4499999999999,164.17,385.77,291.95,,,,17590.0
HUN,2016.0,810.53,43.99,766.54,116.16,455.47,283.24,,76.33,,13050.0
ISL,2016.0,487.53,41.78,445.75,55.9,208.43,311.53,,82.37,,55120.0
LTU,2016.0,851.89,90.77,761.12,39.44,741.87,150.27,,74.97,,14870.0
MDA,2016.0,1037.75,72.9,964.85,65.25,1129.54,206.35,,72.32,,2510.0
NLD,2016.0,512.8,30.2,482.59999999999997,70.42,238.91,303.31,,81.8,,46900.0
ROU,2016.0,848.78,43.37,805.41,56.47,976.23,270.84,,75.37,,9530.0
ALB,1987.0,969.14,25.4,943.74,22.31,977.98,632.93,5.29849485,72.18,397.0,730.0
ALB,1989.0,983.63,29.53,954.1,19.62,1071.01,694.82,5.29895988,71.97,413.21,760.0
ALB,1988.0,958.76,27.2,931.56,20.06,1074.8,622.0,5.29849272,72.54,393.55,730.0
ALB,1992.0,860.26,36.48,823.78,21.43,894.11,513.35,5.74451671,73.22,401.34,280.0
ALB,1996.0,859.67,44.21,815.4599999999999,29.68,1261.55,524.17,6.12339324,74.79,314.32,890.0
ALB,1995.0,808.31,44.65,763.66,25.76,1038.61,499.17,6.4,75.02,319.22,640.0
ALB,1993.0,828.58,43.7,784.88,18.42,849.61,546.55,5.92717613,73.74,383.14,320.0
ALB,1994.0,734.07,35.08,698.99,23.37,756.89,424.88,6.02783046,75.68,301.71,380.0
ALB,2003.0,847.17,42.95,804.2199999999999,48.2,1287.39,334.71,7.86982187,75.77,306.63,1650.0
ALB,2004.0,810.24,41.89,768.35,49.85,1233.62,300.11,8.21350811,76.24,300.74,2100.0
ALB,2000.0,918.11,46.43,871.6800000000001,39.22,1432.59,455.08,7.1,75.1,326.33,1100.0
ALB,2002.0,765.43,44.45,720.9799999999999,48.57,1201.74,267.21,7.66687742,76.4,314.09,1370.0
ALB,2001.0,702.69,45.35,657.34,35.03,1043.61,248.42,7.53803423,77.18,325.52,1280.0
ALB,1998.0,838.5,56.21,782.29,26.86,1327.62,396.69,6.14063985,75.25,305.19,860.0
ALB,1999.0,769.87,53.28,716.59,27.06,1274.32,344.21,6.1393027,76.32,302.57,950.0
ALB,1997.0,791.15,77.92,713.23,26.72,1146.84,400.77,6.13070294,75.36,304.81,800.0
ARM,2015.0,883.95,43.67,840.2800000000001,269.55,559.52,507.73,10.9,75.17,,4010.0
ARM,2013.0,882.62,41.39,841.23,275.42,602.33,387.56,10.59315766,75.17,405.96,4110.0
ARM,2002.0,1073.7,37.03,1036.67,362.44,1467.76,412.54,9.56802593,72.88,434.75,800.0
ARM,2008.0,1048.66,42.19,1006.47,300.03,1015.47,581.97,10.60261946,73.67,382.12,3600.0
ARM,2012.0,907.63,44.09,863.54,276.39,676.35,392.53,10.52495481,74.64,404.78,3880.0
ARM,2001.0,793.75,31.31,762.44,259.95,962.04,258.42,9.687084800000001,75.9,502.5,710.0
ARM,2000.0,796.44,31.21,765.23,239.41,889.49,286.0,10.0,75.73,644.43,660.0
ARM,2003.0,1083.26,36.02,1047.24,404.78,1373.69,438.66,10.07605409,73.08,442.44,960.0
ARM,1991.0,987.19,59.89,927.3000000000001,138.26,1109.15,355.3,6.00531591,72.58,852.93,
ARM,1999.0,857.05,32.36,824.6899999999999,248.68,929.9,318.93,8.73831526,74.84,729.37,610.0
ARM,1994.0,973.29,70.41,902.88,146.8,1096.7,353.97,7.11117427,72.52,866.86,400.0
ARM,1992.0,1056.24,75.64,980.6,153.24,1156.44,358.29,6.43857174,71.54,836.77,310.0
ARM,1995.0,974.82,50.16,924.6600000000001,198.23,1065.44,355.81,8.4,72.99,880.62,460.0
ARM,1986.0,915.63,42.93,872.7,72.38,1057.93,611.33,5.30031983,73.1,902.42,
ARM,1997.0,895.15,41.5,853.65,245.99,970.54,327.17,8.11959835,74.08,787.43,560.0
ARM,1990.0,1016.69,65.57,951.1200000000001,133.11,1186.39,451.14,5.6,72.08,909.48,
ARM,1993.0,1106.79,68.65,1038.1399999999999,170.7,1313.6,426.39,6.71141075,71.15,884.92,330.0
ARM,1998.0,842.81,37.92,804.89,247.26,892.58,269.88,8.48128066,74.91,780.53,590.0
ARM,1996.0,962.27,45.45,916.8199999999999,225.64,1060.42,394.41,7.91128146,73.21,827.78,520.0
ARM,1989.0,991.96,75.3,916.6600000000001,126.16,1221.0,459.03,5.30215958,72.25,903.58,
ARM,1988.0,1435.11,538.15,896.9599999999999,126.6,1122.21,516.24,5.16855969,60.97,919.04,
ARM,1987.0,924.8,48.93,875.87,73.99,1070.6,512.9,5.2286036,73.07,899.66,
AUT,2010.0,549.1,37.43,511.67,151.81,254.19,212.26,17.8,80.88,765.55,49610.0
AUT,2006.0,584.04,41.0,543.04,203.98,317.75,246.09,16.66498144,80.19,766.26,41460.0
