COUNTRY,COUNTRY_GRP,AGE_GRP_4,SEX,YEAR,VALUE
PRT,,GTE65,FEMALE,1999,421.32
PRT,,GTE65,ALL,1999,592.48
PRT,,GTE65,ALL,1987,423.68
PRT,,GTE65,ALL,1988,451
PRT,,GTE65,ALL,1990,478.96
PRT,,GTE65,MALE,2009,691.59
PRT,,GTE65,MALE,1995,694.38
PRT,,GTE65,MALE,1986,677.8
PRT,,GTE65,FEMALE,1986,323.28
PRT,,GTE65,ALL,1995,466.23
PRT,,GTE65,MALE,2011,632.34
PRT,,GTE65,MALE,1989,653.59
PRT,,GTE65,ALL,1989,428.03
PRT,,GTE65,ALL,1997,502.48
PRT,,GTE65,FEMALE,2011,333.47
PRT,,GTE65,FEMALE,1988,309.46
PRT,,GTE65,FEMALE,2012,392.93
ROU,,GTE65,FEMALE,2011,160.48
ROU,,GTE65,MALE,2011,388.05
ROU,,GTE65,ALL,2011,249.94
RUS,,GTE65,FEMALE,2011,94.46
RUS,,GTE65,MALE,2011,393.03
RUS,,GTE65,ALL,2011,186.14
SWE,,GTE65,ALL,2011,237.56
SWE,,GTE65,FEMALE,2011,203.3
SWE,,GTE65,MALE,2011,292.93
TUR,,GTE65,ALL,2012,453.39
TUR,,GTE65,MALE,2012,663.29
TUR,,GTE65,FEMALE,2010,264.02
TUR,,GTE65,ALL,2009,395.81
TUR,,GTE65,MALE,2010,562.53
TUR,,GTE65,MALE,2011,700.72
TUR,,GTE65,FEMALE,2012,311.15
TUR,,GTE65,MALE,2009,590.26
TUR,,GTE65,FEMALE,2009,262.45
TUR,,GTE65,ALL,2010,385.82
AUT,,GTE65,FEMALE,2013,137.54
AUT,,GTE65,ALL,2013,190.67
AUT,,GTE65,MALE,2013,274.1
BEL,,GTE65,FEMALE,2012,305.84
BEL,,GTE65,ALL,2002,564.14
BEL,,GTE65,ALL,2012,414.45
BEL,,GTE65,FEMALE,2002,379.54
BEL,,GTE65,MALE,2001,845.96
BEL,,GTE65,MALE,2012,587.17
BEL,,GTE65,FEMALE,2001,350.01
BEL,,GTE65,ALL,2001,527.5
HRV,,GTE65,ALL,2013,213.61
HRV,,GTE65,FEMALE,2013,137.47
HRV,,GTE65,MALE,2013,352.17
CZE,,GTE65,FEMALE,2013,212.73
CZE,,GTE65,ALL,2013,299.48
CZE,,GTE65,MALE,2013,442.51
DEU,,GTE65,FEMALE,2013,215.7
DEU,,GTE65,ALL,2013,288.53
DEU,,GTE65,MALE,2013,403.8
HUN,,GTE65,FEMALE,2013,206.68
HUN,,GTE65,ALL,2013,288.47
HUN,,GTE65,MALE,2013,446.8
