,country_name,alpha_3_code,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CY,Cyprus,CYP,4.478168487548828,4.8945136070251465,5.143043041229248,5.26754093170166,5.140158176422119,5.283782482147217,5.527929782867432,5.654695987701416,5.7254228591918945,6.23826265335083,6.237568378448486,6.62054443359375,7.009373188018799,7.155670166015625,7.558487415313721,7.875723838806152,8.215288162231445,8.493462562561035,8.922927856445312,9.258763313293457,9.296982765197754,9.454265594482422,9.775984764099121,10.186639785766602,10.666193962097168,11.396079063415527,11.753803253173828,12.348143577575684,12.71075439453125,12.838150978088379,13.047499656677246,13.44965648651123,13.642098426818848,14.143170356750488,15.135333061218262
GR,Greece,GRC,6.020705223083496,6.4400763511657715,6.639634132385254,6.853063583374023,6.856593132019043,7.072498798370361,7.478326797485352,7.716929912567139,7.929989814758301,8.088665008544922,8.512171745300293,9.00898265838623,9.455615043640137,9.94716739654541,10.340282440185547,10.882912635803223,11.669787406921387,12.161125183105469,12.89001750946045,13.24288272857666,13.282177925109863,13.610011100769043,13.876954078674316,14.45730209350586,15.091379165649414,16.179471969604492,16.719301223754883,17.49688720703125,18.03471565246582,18.621105194091797,19.186996459960938,19.269777297973633,19.894027709960938,20.643056869506836,21.39791488647461
LB,Lebanon,LBN,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
IT,Italy,ITA,5.936263084411621,6.169551849365234,6.389147758483887,6.127366065979004,6.1747050285339355,6.78050422668457,7.549559593200684,8.107090950012207,8.356344223022461,8.616172790527344,8.840882301330566,9.662999153137207,10.34472942352295,11.025254249572754,11.84981918334961,12.667120933532715,13.42769718170166,13.912725448608398,14.521059036254883,15.033184051513672,15.579939842224121,16.014440536499023,16.691720962524414,17.439043045043945,17.960851669311523,18.268529891967773,18.74323844909668,19.723876953125,20.304950714111328,20.76390266418457,21.229677200317383,21.99123764038086,22.17812728881836,22.646984100341797,23.558204650878906
MT,Malta,MLT,5.57087516784668,5.801914215087891,5.83642053604126,5.744019508361816,5.736997604370117,5.962653160095215,6.309455871582031,6.561054706573486,6.623509407043457,6.887282848358154,6.722047805786133,6.895730972290039,7.270935535430908,7.778576850891113,7.86137580871582,8.296478271484375,8.594594955444336,8.638408660888672,9.034814834594727,9.223306655883789,9.358896255493164,9.62191390991211,9.798221588134766,10.270059585571289,10.42339038848877,10.747442245483398,10.898576736450195,11.596290588378906,12.352295875549316,12.666003227233887,12.740715026855469,12.822698593139648,12.846564292907715,12.931234359741211,13.594493865966797
TR,Turkey,TUR,5.605462551116943,6.047059059143066,6.350464344024658,6.275648593902588,6.5370965003967285,6.743350028991699,6.963324069976807,7.201987266540527,7.494359970092773,7.938286781311035,8.394367218017578,8.882431983947754,9.29000186920166,9.783758163452148,10.152263641357422,10.629304885864258,11.409696578979492,11.936671257019043,12.66872787475586,13.015534400939941,13.143854141235352,13.461017608642578,13.862733840942383,14.380562782287598,15.10573959350586,16.036571502685547,16.688377380371094,17.43612289428711,18.065149307250977,18.384695053100586,18.961517333984375,19.40622329711914,19.781261444091797,20.29557228088379,21.46123504638672
GI,Gibraltar,GIB,5.022327899932861,5.164539337158203,5.326642036437988,5.058928966522217,5.114205360412598,5.176600933074951,5.209640979766846,5.310980796813965,5.268728256225586,5.403735160827637,5.5804524421691895,5.58807373046875,5.902773380279541,6.280578136444092,6.388993263244629,6.705073833465576,6.698206424713135,6.876723766326904,6.889368534088135,7.0995869636535645,7.260977268218994,7.5076680183410645,7.9068708419799805,8.058377265930176,8.199414253234863,8.020896911621094,8.276841163635254,8.567754745483398,8.737394332885742,8.860008239746094,8.935259819030762,9.213232040405273,9.237520217895508,9.76700210571289,9.892461776733398
AL,Albania,ALB,5.359872817993164,5.715130805969238,5.989741802215576,6.084162712097168,5.952563762664795,6.2095627784729,6.618184566497803,6.903231620788574,6.960921764373779,7.215136528015137,7.195659160614014,7.7599687576293945,8.053803443908691,8.400421142578125,8.769781112670898,9.149666786193848,9.676094055175781,9.793692588806152,10.342792510986328,10.381986618041992,10.719242095947266,10.794225692749023,11.12916374206543,11.499746322631836,11.612319946289062,11.955720901489258,12.183850288391113,12.872193336486816,13.488171577453613,13.543853759765625,13.863041877746582,14.192630767822266,14.163698196411133,14.315255165100098,15.144640922546387
MK,"Macedonia, the former Yugoslav Republic of",MKD,4.305186748504639,4.692776203155518,4.939743518829346,4.700725555419922,4.8336286544799805,5.1490797996521,5.300466537475586,5.373500823974609,5.557204246520996,5.615225315093994,5.723554611206055,5.977965831756592,6.140167236328125,6.125950336456299,6.200896739959717,6.538066387176514,6.820333480834961,7.156120300292969,7.361588001251221,7.36950159072876,7.362601280212402,7.697737216949463,7.855125427246094,8.112875938415527,8.04939079284668,8.575461387634277,8.649126052856445,8.94530963897705,9.152838706970215,9.34164047241211,9.548471450805664,9.802976608276367,9.567347526550293,9.843530654907227,10.057828903198242
FR,France,FRA,5.866696834564209,5.915445327758789,6.1580376625061035,5.9299750328063965,6.255549907684326,6.120792388916016,6.4922308921813965,6.961564064025879,7.052589416503906,7.467207908630371,7.49778938293457,7.853091716766357,8.188186645507812,8.617073059082031,8.914948463439941,9.647216796875,10.28750991821289,10.365555763244629,10.991857528686523,11.443501472473145,11.868865966796875,12.226930618286133,12.78570556640625,13.185016632080078,13.417737007141113,13.750972747802734,14.209249496459961,14.830015182495117,15.686430931091309,16.032556533813477,16.27408790588379,16.873456954956055,16.93912696838379,17.72406768798828,18.933629989624023
