,ESP_heatwaves,ESP_nuclear_production_rate,FRA_heatwaves,FRA_nuclear_production_rate,HUN_heatwaves,HUN_nuclear_production_rate,CHE_heatwaves,CHE_nuclear_production_rate,GBR_heatwaves,GBR_nuclear_production_rate,DEU_heatwaves,DEU_nuclear_production_rate,SVK_heatwaves,SVK_nuclear_production_rate,CZE_heatwaves,CZE_nuclear_production_rate,BEL_heatwaves,BEL_nuclear_production_rate,NLD_heatwaves,NLD_nuclear_production_rate,SWE_heatwaves,SWE_nuclear_production_rate,FIN_heatwaves,FIN_nuclear_production_rate
1996,7.234694004058838,32.49214086,7.49778938293457,78.03833765,5.512864589691162,40.41037333,6.603701591491699,44.69609429,7.429685592651367,27.102054600000002,7.261937141418457,29.05731163,5.6543121337890625,44.193447,5.313837051391602,20.13380756,5.559543609619141,57.67521095,5.338927268981934,4.869882818,8.539825439453125,52.8163155,8.117462158203125,28.07432286
1997,7.233272552490234,29.23546237,7.853091716766357,78.94266181,5.713607311248779,39.46097127,6.975129127502441,40.98754678,7.852831840515137,28.1075663,7.587790489196777,31.08112793,5.938207626342773,44.198299600000006,5.4871110916137695,19.45590731,5.949503421783447,60.887992700000005,5.765992641448975,2.783075021,8.976884841918945,46.86674799,8.35525131225586,30.20411703
1998,7.600985527038574,30.50436419,8.188186645507812,76.48649821,5.982680797576904,37.50739446,7.205917835235596,41.45801233,8.013348579406738,27.55241928,7.778996467590332,29.26345327,6.134739875793457,44.27949635,5.578317165374756,20.3918049,5.997829437255859,56.24733475,5.830956935882568,4.185918893999999,9.366290092468262,46.33952806,8.745980262756348,31.1442701
1999,8.055663108825684,28.59155545,8.617073059082031,75.63622690000001,5.9303131103515625,37.25946289,7.466129302978516,37.61303569,8.139671325683594,26.04599589,7.843861103057861,30.76744881,6.139358043670654,46.67141078,5.540464401245117,20.81859131,6.316453456878662,58.79735144,6.125051975250244,4.4188191880000005,9.625558853149414,47.26746664,8.917102813720703,33.07657975
2000,8.358311653137207,28.15757669,8.914948463439941,77.57369428,6.1114630699157715,40.29439345,7.843760013580322,39.99455568,8.747784614562988,22.72133556,8.439497947692871,29.63518215,6.2560248374938965,53.55542568,5.669839859008789,18.63916281,6.504639625549316,58.17959963,6.2978410720825195,4.380180964,10.406916618347168,39.46540339,9.535284996032715,32.12387104
2001,9.065301895141602,27.334629100000004,9.647216796875,77.22112800000001,6.293572902679443,38.79170671,8.189972877502441,37.731149200000004,8.832769393920898,23.56211817,8.6529541015625,29.43961532,6.453332424163818,53.68847313,5.73280143737793,19.86825444,6.833358287811279,58.95469231,6.598221778869629,4.245006032,10.27382755279541,44.62328661,9.319463729858398,30.573530600000005
2002,9.507164001464844,26.26575024,10.28750991821289,78.89023355,6.5695390701293945,38.59003789,8.947016716003418,41.60085542,8.866323471069336,22.84169061,9.141111373901367,28.32560649,6.757303237915039,55.73388799,6.03889274597168,24.65688532,7.156853675842285,58.51320129999999,6.871782302856445,4.078932289,10.675040245056152,46.42876619,9.484615325927734,29.74451337
2003,9.562273025512695,24.04658917,10.365555763244629,78.55153303,6.706022262573242,32.25362425,9.037775993347168,42.02905199,9.048996925354004,22.42580867,9.189634323120117,27.34578854,6.7815446853637695,57.65184277,6.0050530433654785,31.24034003,6.995734214782715,56.69989588,6.723536491394043,4.150054742,10.956172943115234,49.79723591,9.698342323303223,26.95609895
2004,10.218854904174805,22.9913393,10.991857528686523,78.81714758,6.795024871826172,35.34769194,9.754241943359375,42.21091365,8.94066333770752,20.44556556,9.077330589294434,27.33818247,6.8477559089660645,55.89625739,6.052929878234863,31.41783029,6.9198737144470215,56.08810594,6.734625816345215,3.776157449,10.87283992767334,51.087537,9.684974670410156,26.46164599
2005,10.758672714233398,19.87907893,11.443501472473145,79.04781079,7.06995153427124,38.69001007,10.40487003326416,40.39003963,8.932660102844238,20.640524399999997,8.856232643127441,26.47856447,7.208989143371582,56.54184741,6.3491692543029785,30.18149418,7.030777454376221,55.53092441,6.772088527679443,4.000160126,10.885515213012695,45.70264894,9.799858093261719,32.97016236
